x1,y1,z1,x2,y2,z2
6.77802,26.812,3.87596,5.25928,-0.801,2.99395
5.29644,-0.801,5.17579,1.80421,26.812,4.38432
2.34473,-0.801,4.85903,1.44717,26.812,3.05078
3.43147,-0.801,4.59762,2.15038,26.812,2.70077
5.63274,26.812,4.12014,3.33144,-0.801,2.70755
7.15261,26.812,4.63801,2.23937,-0.801,3.82717
8.05021,-0.801,3.63892,2.32591,26.812,2.91852
2.88072,-0.801,4.84281,2.0424,26.812,3.25812
3.79746,-0.801,3.34906,5.83418,26.812,3.04495
1.32339,-0.801,3.77652,3.1561,26.812,3.01019
5.33605,-0.801,4.32513,5.998,26.812,3.06686
6.77116,26.812,4.70672,2.77127,-0.801,4.01814
5.41202,26.812,4.21554,6.78026,-0.801,3.34721
1.13681,26.812,5.11,5.48837,-0.801,2.7814
1.78056,-0.801,5.03267,5.65169,26.812,2.79889
2.83427,26.812,4.30355,5.76153,-0.801,3.17048
7.52626,26.812,4.17668,2.30271,-0.801,2.66551
3.11105,26.812,4.04013,5.67042,-0.801,2.85447
2.27021,-0.801,4.45863,7.75439,26.812,3.72027
5.89324,26.812,4.46006,6.66091,-0.801,2.73793
1.53257,-0.801,5.18355,3.81354,26.812,3.24892
6.99869,26.812,3.88387,1.37375,-0.801,2.88296
3.16716,26.812,5.21795,5.95536,-0.801,3.33701
6.84238,26.812,3.92569,7.35628,-0.801,3.6024
1.18947,26.812,3.31583,2.35278,-0.801,2.63233
7.11304,26.812,3.62591,7.56456,-0.801,2.99419
7.23773,26.812,4.35548,8.16385,-0.801,3.74514
7.45666,-0.801,4.48571,2.60676,26.812,2.72243
2.37632,26.812,4.73832,1.4356,-0.801,3.30597
2.323,26.812,4.96314,6.03165,-0.801,3.03587
2.10153,-0.801,3.92811,3.00903,26.812,3.16073
3.73967,-0.801,3.76478,1.56412,26.812,2.85028
